archipelago ; архипелаг ; группа островов, расположенных близко друг к другу ; “You made your way toward this archipelago.” ; Слово происходит из греческого и изначально означало не острова, а Эгейское море.
grapple ; схватить, бороться ; крепко держать или пытаться победить в борьбе ; “You are grappled by both of them.” ; Также есть grappling hook — абордажный крюк.
refracting ; преломляющийся ; изменяющий направление света при прохождении через что-то ; “The light is refracting strangely.” ; Связано со словом refraction (преломление).
crustacean ; ракообразное ; морское животное с твёрдой оболочкой ; “A large crustacean-like entity.” ; К этой группе относятся крабы и омары.
glimmer ; Мерцание, тусклый свет ; светящийся слабым нестабильным светом ; “A glimmering hint of it.” ; Glimmer слабее, чем glow.
descend ; спускаться ; двигаться вниз с более высокого уровня ; “You descend carefully into the burrows.” ; Часто используется в описаниях подземелий и путешествий.
emerge ; появляться, выходить из скрытого ; выходить из скрытого или закрытого места ; “A figure emerges from the darkness.” ; Противоположность — descend/submerge.
uneasy ; тревожный ; слегка обеспокоенный или нервный ; “An uneasy silence follows.” ; Часто используется с silence или feeling.
scrutiny ; пристальное изучение ; очень внимательное наблюдение или проверка ; “You examine it under close scrutiny.” ; Часто встречается в академическом английском.
fragile ; хрупкий ; легко ломающийся или повреждающийся ; “The structure looks fragile.” ; Используется и про эмоции.
withdraw ; отступать (напр. войска) ; двигаться назад или убирать что-то ; “The creature withdraws slowly.” ; Также — снять деньги (withdraw cash).
scatter ; разбрасывать ; разлетаться в разные стороны ; “Bones scatter across the floor.” ; Может быть и существительным.
withstand ; выдерживать ; успешно сопротивляться давлению или атаке ; “The walls withstand the pressure.” ; Нерегулярный глагол (withstood).
obscure ; скрывать ; делать трудным для понимания или видимости ; “Shadows obscure the path.” ; Также значит «малоизвестный».
perceive ; воспринимать ; замечать или осознавать через чувства ; “You perceive movement ahead.” ; Часто в научной речи.
hesitate ; колебаться ; медлить перед действием ; “You hesitate before entering.” ; Идиома: "He who hesitates is lost"В английском языке есть пословица: "He who hesitates is lost" (Кто колеблется, тот погибает/теряет всё). Она подчеркивает, что иногда быстрое, даже не идеальное решение лучше, чем длительное промедление.
enclose ; огораживать, окружать ; полностью закрывать со всех сторон ; “Stone walls enclose the chamber.” ; Часто в формальном английском.
linger ; задерживаться ; оставаться дольше обычного ; “A strange smell lingers.” ; Часто в описании атмосферы.
unsettling ; беспокоящий, тревожащий ; вызывающий чувство дискомфорта ; “An unsettling sound echoes.” ; Часто уровень C1.
overwhelming ; подавляющий ; очень сильный по интенсивности ; “An overwhelming pressure surrounds you.” ; Часто с emotions или force.
burrow ; нора ; отверстия или туннели в земле, вырытые животными для жизни или укрытия ; “You continue deeper into the endless burrows.” ; глагол to burrow также означает «углубляться» или «прокапываться» (даже метафорически — burrow into a problem).
wasteland ; пустошь ; земля, где ничего не растёт и почти никто не живёт ; “You travel across the wasteland of Xhorhas.” ; Слово часто используется в постапокалиптических историях.
outpost ; форпост ; небольшой удалённый военный или исследовательский пункт ; “A guarded outpost stands ahead.” ; Часто встречается в sci-fi и военной лексике.
barren ; бесплодный, пустынный ; земля, на которой ничего не растёт ; “The land around you is barren.” ; Может описывать и отсутствие идей — barren imagination.
fortress ; крепость ; большое укреплённое здание для защиты ; “The fortress rises in the distance.” ; Происходит от латинского fortis — «сильный».
hostile ; враждебный ; недружелюбный или готовый атаковать ; “The environment feels hostile.” ; Используется и в выражении hostile environment.
settlement ; поселение ; место, где люди начинают жить вместе ; “You approach a small settlement.” ; Часто используется в историческом контексте.
negotiation ; переговоры ; обсуждение с целью достижения соглашения ; “They begin a tense negotiation.” ; Глагол — negotiate.
allegiance ; верность, присяга ; поддержка правителя, группы или идеи ; “He swears allegiance to the dynasty.” ; Часто используется в фэнтези и политике.
distrust ; недоверие ; чувство, что кому-то нельзя верить ; “Distrust fills the conversation.” ; Противоположность — trust.
reconnaissance ; разведка ; сбор информации о месте или враге ; “You move ahead for reconnaissance.” ; Часто сокращают до recon.
passage ; проход ; путь или узкое пространство для движения ; “A hidden passage opens.” ; Также означает «отрывок текста».
encampment ; лагерь ; временное место проживания в палатках ; “The encampment is heavily guarded.” ; Часто военное слово.
desolate ; безлюдный, опустошённый ; пустой и вызывающий чувство одиночества ; “A desolate plain stretches outward.” ; Часто используется для атмосферы одиночества.
wary ; настороженный ; осторожный из-за возможной опасности ; “The guards remain wary.” ; Часто: wary of strangers.
traverse ; пересекать ; двигаться через трудную местность ; “You traverse the harsh terrain.” ; Более формальное слово, чем cross.
looming ; нависающий ; выглядящий большим и угрожающим ; “A looming structure blocks the sky.” ; Часто используется для создания напряжения.
scarce ; редкий, дефицитный, скудный ; имеющийся в очень малом количестве ; “Food is scarce here.” ; Часто в выражении scarce resources.
endure ; терпеть, выдерживать, переносить ; страдать или существовать долго несмотря на трудности ; “The people endure harsh conditions.” ; Уровень B2–C1 академического английского.
uncertain ; неопределённый ; не известный или вызывающий сомнения ; “Your future here feels uncertain.” ; Часто используется в новостях и аналитике.
vigilant ; бдительный ; внимательно следящий за возможной опасностью ; “The soldiers stay vigilant.” ; Связано со словом vigilance.
centipedes ; многоножки ; небольшие длинные животные с множеством ног, живущие на земле и обычно являющиеся хищниками ; “Large centipedes crawl through the tunnels.” ; Слово буквально означает «сто ног» (от латинского centi — сто и pes — нога), хотя у настоящих многоножек ног обычно меньше или больше ста.
vicinity ; окрестности, близлежащая территория ; область рядом с определённым местом ; “You sense movement somewhere in the vicinity.” ; Часто используется в формальной речи и устойчивом выражении in the vicinity of («в районе, приблизительно около»).
keen eye ; острый глаз, наблюдательность ; способность быстро замечать мелкие детали или изменения ; “With a keen eye, you notice tracks along the tunnel wall.” ; Слово keen раньше означало «острый» в буквальном смысле (как лезвие), а затем стало обозначать остроту восприятия и ума.
incline ; склон, наклон / наклоняться ; поверхность, расположенная под углом, или слегка двигаться в определённую сторону ; “The tunnel begins to incline downward.” ; Слово может быть и глаголом, и существительным, а выражение *be inclined to* означает «быть склонным что-то сделать».
delving ; углубление, исследование ; процесс тщательного исследования или копания, особенно в земле или сложной теме ; “You continue delving deeper into the tunnels.” ; Глагол *to delve* раньше означал буквально «копать землю», а сейчас часто используется метафорически — *delve into a problem*.
upward fashion ; восходящим образом, по направлению вверх ; способом или движением, направленным вверх ; “The tunnel curves in an upward fashion.” ; Слово *fashion* здесь означает «способ» или «манера», а не «мода» — это более формальное употребление, часто встречающееся в описаниях.
lull ; затишье, временное успокоение ; короткий период спокойствия или уменьшения активности ; “A brief lull settles over the cavern.” ; Часто используется в выражении *a lull before the storm* — «затишье перед бурей».
piton ; скальный крюк ; металлический штырь, который вбивают в скалу для закрепления верёвки при подъёме ; “You hammer a piton into the rock face.” ; Слово пришло из французского *piton* и широко используется в альпинизме и D&D-лексиконе приключений.
threw down the gauntlet ; бросить вызов ; публично бросить кому-то вызов или показать, что ты готов соревноваться или спорить ; He basically **threw down the gauntlet** and said no one else could do it better. ; Фраза происходит из средневекового обычая: рыцарь бросал перчатку (gauntlet) на землю, вызывая соперника на поединок ⚔️
regardless ; несмотря на это / в любом случае ; несмотря на ситуацию или то, что было сказано ранее ; We decided to continue, regardless of the risks involved. ; Часто употребляется в выражении regardless of + noun/gerund, а форма irregardless считается разговорной и нежелательной в формальном английском
the well ; колодец ; глубокая яма в земле, из которой получают воду ; *They lowered a bucket into the well to get fresh water.* ; В выражении **“to run dry”** (о колодце) означает, что источник полностью иссяк — сейчас это часто используют метафорически о деньгах или идеях.
assault ; нападение ; внезапное насильственное нападение на человека или место ; *The guards prepared for a possible assault at dawn.* ; В английском есть разница между **assault** (угроза или попытка насилия) и **battery** (фактическое нанесение побоев) в юридическом контексте.
pinched ; ущипнул / зажал / стиснул ; сжал что-то пальцами или взял небольшое количество, сдавив ; *He pinched the bridge of his nose in frustration.* ; Слово **pinch** в британском разговорном английском также значит “украсть” (*Someone pinched my bike*).
humble ; скромный ; не считающий себя лучше других, без высокомерия ; *Despite his fame, he remained humble and kind to everyone.* ; В английском есть выражение **“to eat humble pie”** — признать свою ошибку и извиниться после того, как был слишком самоуверенным.
pitch ; смола / деготь ; густое чёрное липкое вещество, получаемое из нефти или угля, используется для герметизации и защиты от воды ; “The workers covered the wooden boards with pitch to protect them from water.” ; Интересно: смолой (pitch) в древности пропитывали корпуса деревянных кораблей, чтобы они не протекали.
genuine ; подлинный / настоящий / искренний ; настоящий, не поддельный ; “She gave him a genuine smile.” ; слово происходит от латинского *genuinus*, что изначально означало «врождённый» или «природный». также может описывать искренние чувства или поведение
noble ; благородный / знатный ; обладающий высокими моральными качествами, честный и достойный уважения ; “He made a noble decision to help the villagers.” ; Интересно: в Средневековье *nobles* были отдельным социальным классом — аристократией с особыми правами и титулами.
bluster ; пустые угрозы ; вести себя громко, шумно или демонстративно, часто для вида, без настоящей силы ; "Despite his bluster about standing up to the boss, he never actually confronted him." ; В английском языке "bluster" обычно описывает поведение, при котором человек шуми́т или угрожает, но не подкрепляет это настоящими действиями.
roam around ; бродить вокруг ; перемещаться без определённой цели или направления ; "She roamed around America for a year, working in bars and restaurants." ; В английском языке "roam around" часто используется для описания свободного передвижения без конкретной цели, например, "roam around the city" — бродить по городу.
leverage ; рычаг влияния ; применять что-то (навыки, ресурсы, возможности) для достижения цели или преимущества ; "She was able to leverage her experience to get a better job." ; В английском языке "leverage" часто означает использование какого-либо ресурса или преимущества для достижения успеха или получения выгоды.
wander ; бродить ; перемещаться без определённой цели или направления ; "I'll go wander over and try to– try to sleep." ; В английском языке "wander" часто используется для описания спокойного передвижения или перемещения без чёткой цели, например, персонажи могут wander past или wander around, чтобы осмотреть местность или размышлять о происходящем.
palatable ; приятный на вкус ; приемлемый или вызывающий одобрение (о пище, идеях и т. д.) ; "The soup was barely palatable, but she ate it anyway." ; В английском языке "palatable" может обозначать не только вкусную пищу, но и что-то приемлемое или удовлетворительное — например, palatable solution (приемлемое решение).
alcoves ; ниши ; небольшие углубленные пространства в стенах или помещениях, часто используемые для уединения или защиты ; "You found a little alcove, yeah." ; В английском языке "alcove" часто означает нишу или углубление в помещении или пещере, где можно спрятаться или укрыться.
prominent ; выдающийся ; заметный, выдающийся, легко бросающийся в глаза ; "She became a prominent member of the community." ; В английском языке "prominent" используется для обозначения людей, объектов или качеств, которые явно выделяются или занимают важное положение, например, "prominent feature" — ярко выраженная черта.
den ; логово ; укромное или защищённое место, используемое животными или людьми для уединения или отдыха ; "The bear retreated to its den for the winter." ; В английском языке "den" может означать жилище дикого животного (например, медведя), а также уютную комнату или уголок в доме, предназначенный для отдыха или работы.
mercenary ; наёмник ; человек, который сражается или работает ради денег, а не из-за личных убеждений ; "He worked as a mercenary in several conflict zones." ; В английском языке "mercenary" часто используется для описания солдата, участвующего в военных действиях за деньги, а не по убеждениям.
ruthless ; безжалостный ; не проявляющий сострадания или жалости, готовый идти на всё ради достижения своей цели ; "The dictator was ruthless in silencing his opponents." ; В английском языке "ruthless" часто используется для описания людей, которые не принимают во внимание чувства или страдания других ради собственной выгоды.
neck of the woods ; определённый район ; определённая часть района, города или региона, часто место, где кто-то живёт или часто бывает ; "How are things in your neck of the woods?" ; В английском языке "neck of the woods" — это разговорное выражение, означающее «ваши края» или «ваша местность», часто используется для дружеского интереса к тому, как идут дела в чьём-то районе.
gamble ; играть в азартные игры ; рисковать деньгами или чем-то ценным на случайный исход, также совершать поступок с надеждой на удачный результат ; "He likes to gamble at the casino on weekends." ; В английском языке "gamble" используется как в значении игры на деньги, так и метафорически — в смысле принятия рискованных решений с надеждой на успех.
hospitality ; гостеприимство ; дружелюбное и внимательное отношение к гостям или посетителям, обеспечение их комфортом и заботой ; "Their hospitality made me feel at home during my stay." ; В английском языке "hospitality" означает проявление заботы, тепла и уважения к гостям, а также сферу услуг, связанную с приёмом и обслуживанием гостей.
residual ; остаточный ; оставшийся после основного процесса или действия, неиспользованный полностью ; "There was a residual amount of paint left in the can." ; В английском языке "residual" часто используется для обозначения того, что осталось после чего-либо, например, "residual income" — остаточный доход.
my liege ; мой повелитель ; средневековое обращение к господину, особенно к королю, выражающее преданность и уважение ; "What would you have me do, my liege?" ; В английском языке выражение "my liege" использовалось в средние века вассалами для обращения к своему сюзерену или господину, показывая уважение и лояльность.
an angle here ; точка зрения ; словосочетание, обозначающее наличие угла или точки зрения в данном месте, но в разговорном английском может означать "есть здесь подход" или "есть своё мнение" ; "There’s a angle here you haven’t considered yet." ; В английском языке "angle" часто используется и в буквальном смысле (угол), и в переносном — как "точка зрения" или "подход к чему-либо".
decent ; приличный, достойный ; соответствующий стандартам морали, приемлемый по качеству или уровню ; "He has a decent job that allows him to provide for his family." ; В английском языке "decent" часто используется для описания чего-то достаточно хорошего, приемлемого по стандартам общества или ситуации, например, "decent salary" — достойная зарплата.
skulking around ; передвигаться украдкой ; передвигаться украдкой, стараясь остаться незамеченным, обычно с подозрительной целью ; "He was skulking around the house, trying not to be seen." ; В английском языке выражение "skulking around" часто означает подозрительное или тайное передвижение, когда человек старается остаться незамеченным.
gaze ; пристально смотреть ; долго и внимательно смотреть на что-либо или кого-либо ; "She sat by the window, gazing at the stars." ; В английском языке "gaze" используется для описания длительного и сосредоточенного взгляда, часто с восхищением или задумчивостью.
canopy layer ; ярус кроны ; верхний слой леса, образованный кронами деревьев, который получает наибольшее количество солнечного света ; "Many animals live in the canopy layer of the rainforest." ; В английском языке "canopy layer" часто используется в экологии для обозначения самого верхнего и густого слоя растительности в лесах, особенно тропических.
grin ; ухмыляться ; широко улыбаться, часто с оттенком насмешки или удовольствия ; "He says sorry with a giant grin on his face." ; В английском языке "grin" означает широкую улыбку, обычно выражающую удовольствие, озорство или самодовольство.
chasm ; пропасть ; глубокая расщелина, разделяющая пространство или большое различие между людьми, мнениями ; "There is still a vast chasm between rich and poor in the country." ; В английском языке "chasm" используется как в прямом значении (геологическая трещина), так и в переносном (значительная разница или разрыв между чем-либо).
totally sober ; совершенно трезвый ; полностью в ясном уме, без воздействия алкоголя или наркотиков ; "He arrived at the party totally sober and stayed that way all night." ; В английском языке "totally sober" подчеркивает абсолютное отсутствие опьянения или любого воздействия веществ, влияющих на сознание.
rack ; вешалка ; рама или приспособление для подвешивания, размещения или сушки чего-либо ; He hung his coat on the rack by the door. I had to rack my brains to remember her name. ; В английском языке "rack" обычно означает конструкцию для хранения или размещения предметов, например, "a clothes rack" — вешалка для одежды, или "a drying rack" — сушилка для посуды или белья. "Torture rack" — устройство для пыток (исторически) Выражение "rack up" — накапливать, зарабатывать Фраза "rack my brains" — ломать голову
hum ; напевать ; создавать низкий непрерывный звук, или тихонько напевать себе мелодию без слов ; "A woman hummed a tune as she carried her grocery bags inside." ; В английском языке "hum" применяется как для описания жужжания, гудения (например, электрических приборов), так и легкого напевания мелодии без слов.
singed ; опалённый ; слегка обожжённый или подпалённый по поверхности ; "The edges of the paper were singed by the flames." ; В английском языке "singed" часто используется для описания чего-то, что было слегка обожжено или подгорело только по краям или снаружи, например, "singed hair" — опалённые волосы.
feast ; пир ; большое праздничное угощение, обильная трапеза или мероприятие с множеством еды ; "The king invited everyone in the village to a grand feast." ; В английском языке "feast" означает не только многолюдный праздник с угощением, но и наслаждение чем-либо (например, "a feast for the eyes" — "пир для глаз").
crest ; гребень/ герб ; вершина, верхняя часть чего-либо (например, горы, волны), или декоративный элемент на шлеме, гербе ; "The castle stood high on the crest of the hill." ; В английском языке "crest" часто используется для обозначения самой высокой точки или пика, а также как термин в геральдике и в биологии для обозначения выступающей части.
anxious ; тревожный ; испытывающий беспокойство, тревогу или нервозность по поводу чего-либо ; "She was anxious about her upcoming exam and couldn't sleep all night." ; В английском языке "anxious" часто используется для описания волнения или беспокойства перед каким-либо событием или по поводу возможных неприятностей.
mature ; зрелый ; достигший полной физической или психологической развитости, взросления ; "He's very mature for his age and handles difficult situations calmly." ; В английском языке "mature" также используется для описания продуктов, например, "mature cheese" — выдержанный сыр, или людей, обладающих мудростью и ответственностью.
